Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Detroit,23.4,22.3,28.0,23.1,23.8,24.5
2,Toronto,24.4,21.0,25.0,24.2,24.6,25.9
3,Houston,24.7,25.7,34.0,23.4,25.9,23.6
4,Boston,24.8,27.3,31.0,24.7,24.8,23.5
5,Okla City,24.8,26.3,29.0,24.5,25.2,24.0
6,Phoenix,24.9,25.7,26.0,24.0,25.9,27.3
7,New York,25.1,24.7,23.0,25.3,24.8,24.6
8,Orlando,25.3,25.0,32.0,25.3,25.3,22.6
9,Charlotte,25.9,25.0,24.0,25.9,26.1,26.8
10,Minnesota,26.0,29.0,31.0,25.1,27.0,24.4
11,San Antonio,26.2,23.7,17.0,26.1,26.2,28.0
12,LA Clippers,26.3,25.7,25.0,25.9,26.7,25.6
13,Portland,26.5,27.0,37.0,25.8,27.1,26.2
14,Indiana,26.5,26.3,26.0,25.9,27.1,24.7
15,Atlanta,26.6,27.3,29.0,26.1,27.2,28.3
16,Cleveland,26.9,28.3,32.0,26.5,27.4,25.6
17,Golden State,27.0,30.7,30.0,27.3,26.8,25.4
18,Brooklyn,27.1,28.0,20.0,27.8,26.4,27.1
19,Miami,27.4,29.3,28.0,27.1,27.7,26.4
20,Denver,27.6,30.0,29.0,28.1,27.1,28.5
21,LA Lakers,27.6,28.3,27.0,27.5,27.8,27.0
22,Philadelphia,27.7,28.3,31.0,27.9,27.5,28.3
23,Milwaukee,27.8,29.3,25.0,28.2,27.5,26.5
24,New Orleans,27.9,27.7,27.0,27.1,28.6,28.6
25,Sacramento,28.0,29.0,30.0,27.2,28.8,27.0
26,Memphis,28.1,32.3,36.0,27.8,28.4,27.0
27,Dallas,28.5,33.0,36.0,27.8,29.2,27.1
28,Chicago,28.8,33.7,22.0,28.2,29.4,28.9
29,Washington,29.3,36.0,29.0,28.7,29.8,28.5
30,Utah,30.7,33.3,40.0,31.2,30.2,29.6
