Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,San Antonio,76.9%,72.5%,69.2%,76.7%,77.0%,73.0%
2,New York,76.6%,75.6%,72.1%,77.4%,75.9%,74.6%
3,Charlotte,76.5%,73.7%,71.1%,76.0%,77.0%,74.5%
4,Orlando,75.7%,74.6%,77.3%,76.1%,75.4%,77.1%
5,Boston,75.7%,73.5%,69.8%,75.2%,76.1%,75.6%
6,Chicago,75.5%,67.3%,64.4%,76.9%,74.1%,76.6%
7,Denver,75.3%,72.6%,61.9%,76.0%,74.5%,74.8%
8,Miami,74.8%,73.3%,67.9%,72.9%,76.6%,75.8%
9,Houston,74.6%,79.0%,77.5%,73.4%,75.9%,76.2%
10,Cleveland,74.4%,74.5%,70.3%,75.2%,73.6%,75.2%
11,Atlanta,74.4%,68.8%,68.4%,74.7%,74.1%,75.9%
12,Okla City,74.4%,72.1%,79.5%,73.9%,74.9%,74.4%
13,Detroit,74.2%,73.4%,69.6%,73.5%,75.0%,76.0%
14,Minnesota,74.2%,83.3%,73.9%,73.9%,74.5%,74.8%
15,Milwaukee,74.1%,71.5%,75.0%,74.8%,73.5%,76.7%
16,Dallas,74.1%,71.4%,75.9%,74.2%,74.0%,72.9%
17,Indiana,74.1%,77.1%,65.7%,73.7%,74.5%,74.3%
18,Brooklyn,74.0%,78.8%,89.3%,74.8%,73.3%,75.0%
19,Toronto,73.9%,71.3%,60.0%,74.1%,73.7%,73.9%
20,LA Lakers,73.9%,63.2%,66.7%,74.3%,73.5%,74.2%
21,Sacramento,73.5%,71.5%,64.0%,74.2%,72.7%,76.9%
22,Golden State,72.9%,75.0%,75.0%,72.1%,73.8%,74.9%
23,LA Clippers,72.9%,68.3%,73.0%,73.4%,72.4%,77.1%
24,Utah,72.9%,77.1%,69.4%,71.7%,74.1%,74.1%
25,Portland,72.6%,70.2%,67.4%,73.3%,72.1%,72.5%
26,Philadelphia,72.5%,68.6%,61.5%,72.3%,72.6%,71.8%
27,Phoenix,71.7%,69.8%,78.9%,71.0%,72.6%,74.1%
28,New Orleans,71.4%,76.3%,72.7%,70.1%,72.8%,72.7%
29,Memphis,70.9%,69.3%,59.6%,69.8%,71.9%,74.8%
30,Washington,70.2%,66.1%,57.5%,69.3%,71.1%,71.9%
