Position,Team,PTS_VAL,PTS_RNK,FG%_VAL,FG%_RNK,FT%_VAL,FT%_RNK,3PM_VAL,3PM_RNK,REB_VAL,REB_RNK,AST_VAL,AST_RNK,STL_VAL,STL_RNK,BLK_VAL,BLK_RNK,TO_VAL,TO_RNK
C,LAC 1,12.9,1,50.0,92,53.8,1,0.5,6,11.3,112,4.0,36,1.2,40,1.2,106,3.3,3
SF,CHA 2,19.7,17,45.8,56,63.9,11,3.3,114,5.6,23,3.0,11,1.3,45,0.6,48,1.6,76
SG,ATL 3,18.3,11,40.2,12,72.2,40,2.1,46,6.3,40,6.2,102,1.8,103,0.5,36,3.3,15
PF,OKC 4,19.0,15,39.2,8,67.6,20,1.3,20,13.9,135,4.2,46,1.3,43,1.6,122,3.1,9
PG,DEN 5,17.9,9,39.7,10,72.0,37,1.6,31,5.5,22,5.8,85,1.6,79,0.4,33,1.0,128
SG,POR 6,17.3,7,35.8,2,84.6,116,2.0,44,5.7,24,4.3,49,1.8,107,0.9,85,3.6,14
PF,MIN 7,20.7,26,40.5,16,79.2,78,1.4,22,10.2,104,3.5,20,1.2,37,2.1,139,3.3,8
PG,NO 8,21.4,44,39.0,7,77.8,71,4.1,137,4.4,6,8.3,137,1.0,18,0.3,20,3.6,48
SG,BOS 9,21.0,34,40.4,15,83.3,105,3.6,130,4.3,1,5.8,86,1.3,50,0.3,19,2.1,60
SF,HOU 10,21.5,46,45.8,55,83.3,104,2.5,67,6.7,46,4.1,42,0.8,9,0.4,21,2.9,112
PF,BOS 11,21.4,45,40.2,11,70.4,29,2.9,88,11.7,117,4.2,47,0.7,7,0.8,68,2.1,91
SG,DET 12,20.8,29,44.4,42,80.0,82,3.2,102,5.4,19,3.8,28,1.4,59,0.6,61,2.1,89
PF,BKN 13,20.1,20,53.5,115,57.6,4,1.7,34,11.6,116,3.5,22,1.5,69,0.3,17,2.7,131
SF,DET 14,13.5,2,36.9,3,68.4,24,1.2,19,6.9,49,7.3,127,1.4,54,1.4,112,2.8,139
SG,CHA 15,18.1,10,39.7,9,85.0,117,2.8,83,5.4,20,6.6,114,1.5,74,0.2,7,2.5,96
SF,ATL 16,21.3,42,44.3,41,83.0,103,2.3,57,7.5,63,4.1,41,1.1,28,0.6,47,2.4,113
PF,PHO 17,20.8,30,47.7,70,66.7,17,1.7,35,10.1,103,3.9,33,1.3,46,0.8,73,2.5,132
C,OKC 18,16.4,5,63.3,143,57.9,5,0.9,10,8.2,84,2.5,5,0.9,14,1.9,129,1.6,147
SF,LAC 19,20.9,32,43.8,34,77.8,70,2.2,48,8.6,90,6.6,115,1.5,75,0.6,60,3.5,21
PG,MIN 20,22.2,57,37.8,4,92.0,139,2.3,56,8.2,82,9.0,143,1.0,24,0.4,23,3.7,18
PF,CHA 21,23.0,75,49.2,81,75.8,57,2.2,47,8.7,91,2.2,2,1.1,29,0.5,46,1.4,119
SG,LAL 22,20.9,33,43.9,37,84.6,115,3.2,106,5.3,18,4.9,60,1.7,91,0.3,10,2.2,80
SF,PHO 23,24.8,99,49.4,84,71.4,35,3.4,116,5.7,25,3.6,27,1.4,58,0.8,71,3.5,41
C,TOR 24,21.1,37,52.6,109,82.1,97,1.1,16,13.7,133,2.5,4,1.0,21,2.1,138,3.4,6
SF,DEN 25,25.1,103,43.2,28,81.0,88,3.2,107,7.3,61,7.1,120,0.9,16,0.1,4,3.1,35
SG,SA 26,21.8,51,42.3,22,85.7,123,2.8,82,6.8,48,6.5,111,1.3,51,0.6,49,3.9,29
SF,TOR 27,22.4,63,42.8,26,85.1,118,2.7,75,6.7,45,3.4,17,1.7,98,1.1,101,3.2,26
C,CHA 28,21.0,35,46.6,63,72.0,39,1.2,17,11.3,113,3.2,15,0.8,12,2.0,137,2.4,140
PG,ORL 29,21.1,40,44.1,38,79.1,77,1.9,40,6.5,43,8.7,142,2.9,145,0.4,34,3.6,13
PF,SA 30,22.0,54,50.3,94,74.3,52,2.9,89,7.6,68,4.0,35,1.2,39,0.6,50,1.7,92
SF,ORL 31,24.4,95,43.7,33,76.0,59,2.7,78,7.1,54,6.2,101,1.3,49,0.2,5,1.7,99
PF,POR 32,21.1,39,54.3,120,72.2,41,2.4,58,7.3,58,2.9,10,1.7,97,0.5,37,2.8,114
C,HOU 33,20.8,28,45.9,57,64.9,14,1.0,13,17.8,146,2.1,1,1.2,38,2.2,140,1.7,141
PF,DET 34,24.1,91,46.5,61,62.8,10,1.8,36,10.8,107,5.2,66,1.7,93,1.1,102,3.8,12
SG,OKC 35,22.4,65,42.2,21,77.5,69,3.5,126,7.5,64,5.8,87,1.5,71,0.3,18,2.7,66
SF,SA 36,18.4,12,44.7,45,75.0,54,2.5,65,6.3,41,3.6,26,2.3,139,1.1,97,1.9,110
C,PHI 37,20.4,24,39.0,6,95.8,149,1.6,27,17.9,147,5.2,71,0.9,15,2.3,143,3.2,10
PG,OKC 38,25.0,102,45.9,58,61.9,8,4.3,140,5.1,13,7.2,124,1.1,32,0.8,72,4.6,46
SG,TOR 39,22.9,71,44.7,46,81.5,92,3.2,103,5.9,29,6.1,99,1.5,70,0.6,52,3.8,33
C,BOS 40,19.0,16,45.1,47,67.7,21,2.6,73,11.9,119,3.1,14,1.6,85,1.6,120,2.1,104
SF,SAC 41,21.3,43,47.3,67,72.0,38,2.7,80,7.1,53,6.1,98,2.1,126,0.7,66,3.0,28
PG,PHO 42,18.8,14,44.3,40,92.9,143,1.6,33,4.8,8,10.3,147,1.1,25,0.7,64,3.0,130
PF,DAL 43,22.8,70,54.9,124,59.1,6,2.4,60,8.3,85,4.1,40,1.6,86,1.5,115,3.4,19
PG,CLE 44,20.4,21,37.9,5,89.7,136,3.0,92,6.7,47,6.6,113,1.4,53,0.5,44,2.8,95
PG,HOU 45,17.1,6,33.8,1,80.8,87,2.2,52,4.4,7,8.6,139,1.9,116,0.9,83,2.4,116
SF,POR 46,21.5,49,43.4,32,78.9,75,1.6,32,8.2,81,4.2,44,1.9,109,0.6,59,2.0,129
PG,DET 47,25.6,119,43.3,30,83.6,108,2.5,68,5.3,17,5.9,90,2.3,140,0.3,15,3.3,23
SF,BOS 48,22.2,58,45.5,52,86.4,126,3.7,133,7.8,69,3.1,12,0.8,11,0.9,90,1.7,63
SG,PHI 49,22.9,72,42.0,20,78.0,72,2.4,59,7.9,74,5.2,69,1.4,64,0.8,69,2.1,115
PF,LAL 50,21.8,52,47.9,74,76.2,63,2.2,50,8.4,89,3.8,30,2.1,124,0.4,28,2.8,106
C,MIN 51,23.5,85,51.1,103,75.6,56,0.4,3,16.5,144,4.6,56,1.1,27,2.6,145,3.1,1
SG,MIN 52,17.5,8,42.4,23,87.1,130,1.9,39,8.2,83,4.5,53,1.7,96,0.7,62,2.1,126
SG,CLE 53,20.7,27,43.9,36,97.6,150,2.6,69,5.9,31,5.5,77,1.9,111,0.3,14,2.6,105
PG,NY 54,24.6,97,50.8,99,72.9,44,3.3,113,4.8,9,7.3,126,1.2,35,0.4,24,2.7,75
SG,NY 55,20.9,31,42.6,24,73.5,46,3.2,110,6.0,32,7.0,118,1.8,102,0.9,82,2.9,78
SF,GS 56,22.5,67,43.2,27,82.9,101,3.3,112,7.6,67,5.5,76,1.8,105,0.4,31,3.3,38
PG,LAL 57,23.0,77,46.3,60,94.4,146,2.2,49,6.1,37,10.3,148,1.5,66,0.4,26,3.3,22
SG,LAC 58,24.2,93,46.9,65,80.8,86,4.7,150,5.8,28,4.6,55,1.7,92,0.3,11,3.5,53
SG,PHO 59,23.4,82,47.8,71,82.5,99,3.2,104,7.9,73,5.3,75,1.5,72,0.4,25,3.6,34
PG,ATL 60,25.4,113,45.4,50,81.8,94,4.6,147,4.3,3,6.0,96,1.2,36,0.5,45,4.6,51
SF,OKC 61,19.9,19,43.2,29,86.7,129,3.1,100,7.2,57,3.5,19,2.4,141,0.6,55,2.6,87
C,NY 62,14.6,3,47.2,66,78.6,74,0.3,1,13.3,130,6.3,104,1.0,20,1.0,92,2.2,149
PF,WAS 63,20.5,25,63.5,144,73.9,49,1.6,28,11.5,114,4.9,58,1.0,23,0.8,67,2.5,133
SF,MIN 64,22.4,64,45.9,59,69.2,25,2.8,85,8.8,93,3.5,21,2.2,137,1.8,127,3.8,30
SF,NY 65,21.7,50,50.8,100,92.3,140,2.7,76,6.6,44,3.5,18,1.7,99,0.3,13,2.3,101
PG,CHA 66,23.2,79,46.6,62,95.7,148,2.7,77,6.3,42,8.4,138,1.4,55,0.3,16,3.5,27
SG,DEN 67,20.4,22,45.3,48,74.2,51,2.7,79,7.4,62,6.5,112,1.9,113,0.6,58,1.3,100
PF,LAC 68,23.2,78,49.7,86,74.2,50,2.6,71,10.9,109,3.8,29,1.1,30,0.9,91,2.5,102
C,ATL 69,23.0,76,63.3,142,82.9,102,1.2,18,15.0,138,3.6,24,0.8,10,1.9,130,3.7,7
C,BKN 70,21.9,53,56.0,131,68.0,22,0.4,4,13.5,132,2.6,6,0.5,3,4.0,150,2.9,148
PG,TOR 71,21.0,36,40.2,13,86.0,125,3.0,93,7.3,59,7.0,119,2.2,134,0.5,40,3.0,32
SG,HOU 72,21.5,47,45.4,51,81.8,95,3.4,117,7.0,52,6.5,110,1.6,77,0.4,32,2.0,71
C,DET 73,19.8,18,50.9,101,56.7,3,1.3,21,12.7,126,2.7,8,1.9,110,1.9,131,2.7,134
SF,PHI 74,25.2,109,43.9,35,81.8,96,3.4,123,7.5,65,4.3,50,0.7,8,1.1,99,2.3,69
C,SAC 75,18.6,13,49.3,83,66.7,18,0.6,7,12.6,123,3.6,25,2.0,123,1.6,119,2.0,144
