Position,Team,PTS_VAL,PTS_RNK,FG%_VAL,FG%_RNK,FT%_VAL,FT%_RNK,3PM_VAL,3PM_RNK,REB_VAL,REB_RNK,AST_VAL,AST_RNK,STL_VAL,STL_RNK,BLK_VAL,BLK_RNK,TO_VAL,TO_RNK
SF,BOS 1,20.2,11,43.1,14,76.1,56,2.7,66,7.8,76,3.7,14,1.3,17,0.7,62,1.9,88
C,ORL 2,19.7,5,54.3,133,72.3,28,0.8,1,13.7,122,3.4,3,1.3,18,1.8,126,3.0,3
SF,ORL 3,19.1,1,44.1,24,74.9,49,2.5,49,7.5,69,3.8,17,1.6,83,0.6,33,2.5,121
PF,BOS 4,20.2,13,44.7,43,72.5,33,2.2,39,10.7,108,3.5,6,1.2,8,0.9,88,2.1,111
C,OKC 5,20.4,14,51.4,120,68.1,4,1.0,10,15.3,139,4.2,46,1.1,3,1.9,129,3.3,1
PF,OKC 6,20.6,18,44.8,51,73.7,38,2.7,62,10.4,102,3.6,7,1.2,9,1.1,102,2.7,92
SF,MIN 7,20.2,12,43.1,13,76.8,60,2.8,76,7.6,70,3.7,16,1.7,108,0.7,52,2.4,80
SF,OKC 8,21.7,42,43.0,11,79.8,87,3.1,107,7.9,81,3.8,18,1.5,57,0.8,69,3.1,16
SF,MIA 9,20.7,20,44.6,41,77.9,69,2.9,82,7.5,68,3.9,28,1.4,32,0.8,65,2.1,86
SG,HOU 10,22.3,61,43.0,12,78.5,75,3.0,93,6.4,33,4.7,88,1.5,45,0.5,25,2.7,69
PF,HOU 11,20.9,25,46.7,88,70.4,14,1.9,32,10.0,97,3.5,5,1.4,34,1.5,119,2.9,104
SF,NY 12,21.5,34,45.6,67,79.5,83,2.8,73,7.8,78,4.0,35,1.2,7,0.8,68,2.2,77
SF,IND 13,21.1,29,45.9,73,76.7,59,2.7,67,7.9,80,4.2,47,1.4,27,0.8,66,2.4,89
SG,ORL 14,21.9,47,44.7,42,80.0,92,2.8,72,6.9,52,4.5,70,1.5,63,0.5,29,3.0,76
SG,OKC 15,21.7,39,39.6,1,82.1,124,3.0,95,7.3,61,5.0,98,1.4,40,0.8,72,3.5,13
SF,MIL 16,20.5,15,44.4,35,80.1,93,2.8,75,8.7,89,4.0,37,1.5,60,0.7,61,1.9,79
SG,DET 17,23.0,84,42.8,8,80.9,104,3.6,140,6.3,30,4.2,44,1.6,71,0.6,30,2.8,33
PF,NY 18,20.6,16,48.1,107,76.0,55,2.2,37,10.0,98,3.7,11,1.2,10,1.3,104,2.6,109
C,NY 19,19.3,3,56.5,143,69.2,7,1.0,9,13.5,121,3.8,21,1.3,19,1.9,127,2.7,102
PG,OKC 20,22.7,73,43.4,15,81.6,115,3.1,109,6.1,17,7.5,127,1.4,43,0.5,24,3.6,30
SF,HOU 21,20.8,21,44.4,33,80.1,95,2.6,55,7.3,62,3.7,15,1.5,55,1.0,92,2.3,127
PF,ORL 22,19.9,8,50.9,119,70.2,13,2.0,34,10.7,109,3.0,1,1.5,54,1.4,111,2.8,106
PG,GS 23,21.7,41,43.8,22,81.4,114,2.6,60,6.1,16,7.5,126,1.7,100,0.8,73,3.4,4
SG,BOS 24,21.9,49,43.7,20,80.6,101,3.2,121,7.1,55,4.9,96,1.5,53,0.5,28,2.3,49
C,BOS 25,19.9,9,53.4,128,74.0,40,1.0,11,15.3,140,3.6,8,0.9,1,1.3,105,2.4,132
PF,MIL 26,22.0,53,46.8,89,75.8,53,2.8,77,10.0,96,3.4,2,1.4,35,1.1,101,2.3,81
PF,GS 27,21.7,43,45.9,71,77.3,65,2.6,58,9.9,93,3.7,13,1.3,16,1.3,106,2.5,130
C,MIN 28,20.0,10,52.7,126,73.6,37,0.8,2,14.3,127,4.1,39,1.4,29,1.9,131,2.9,95
PG,MIN 29,23.1,96,43.5,16,81.2,106,2.8,70,6.2,26,7.7,130,2.0,137,0.5,11,3.3,7
SG,CLE 30,22.8,79,42.7,6,81.9,122,3.2,117,6.5,38,5.0,99,1.5,49,0.6,31,2.5,58
C,IND 31,21.7,38,57.4,146,71.5,22,0.9,7,15.7,145,3.8,23,1.2,6,1.4,113,2.7,100
C,LAL 32,19.8,7,56.5,142,69.9,11,0.9,8,14.9,135,4.3,58,1.3,23,1.8,125,2.3,101
C,HOU 33,19.6,4,56.2,140,66.7,2,1.2,24,14.1,125,3.7,10,1.3,15,2.4,146,2.4,145
PF,LAC 34,21.1,28,47.0,91,75.0,51,2.4,46,10.3,101,3.8,19,1.5,58,1.1,99,2.6,118
SG,LAC 35,22.0,51,44.6,38,80.3,98,3.4,129,6.0,15,4.8,89,1.8,118,0.5,18,2.8,55
PG,BOS 36,23.3,101,44.6,39,83.0,134,2.9,90,5.7,8,7.3,123,1.7,102,0.4,5,3.2,10
SF,LAC 37,20.8,22,47.4,96,76.3,57,2.6,51,7.5,67,4.2,43,1.8,116,0.6,38,2.6,123
SG,GS 38,23.3,104,44.2,26,78.4,74,3.6,142,6.2,25,5.2,105,1.5,52,0.7,60,3.3,28
PG,ORL 39,24.1,129,44.9,52,82.4,127,2.7,69,5.6,6,7.4,125,1.7,99,0.4,4,4.0,6
C,LAC 40,19.2,2,51.7,121,70.6,17,0.9,4,14.0,123,4.5,76,1.5,47,1.9,132,2.8,97
PF,MIN 41,22.1,54,47.9,105,70.6,16,2.4,44,9.8,92,3.7,12,1.6,84,1.1,97,2.3,116
SF,DAL 42,23.0,83,46.4,82,78.3,72,2.9,85,8.0,84,4.2,48,1.4,28,0.8,67,2.1,71
PG,SAC 43,22.9,80,45.1,58,81.9,121,3.2,115,5.5,4,7.8,132,1.6,91,0.4,2,3.0,21
C,MIA 44,19.7,6,57.6,147,72.3,29,1.1,15,15.1,137,3.8,22,1.2,5,1.9,128,2.4,136
