Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Houston,34.8%,35.3%,50.0%,33.3%,36.1%,31.7%
2,Portland,31.3%,34.4%,28.2%,30.5%,32.0%,29.2%
3,Detroit,30.6%,27.5%,21.6%,30.9%,30.4%,26.3%
4,Charlotte,30.5%,31.3%,30.4%,30.1%,30.9%,26.5%
5,New York,29.9%,39.1%,29.3%,31.0%,28.9%,26.2%
6,Boston,29.3%,32.4%,33.3%,29.6%,29.1%,25.7%
7,Phoenix,28.8%,23.3%,24.4%,28.2%,29.4%,22.6%
8,New Orleans,26.8%,19.7%,24.4%,27.3%,26.2%,26.3%
9,Cleveland,26.8%,26.7%,36.1%,25.8%,27.8%,26.1%
10,Philadelphia,26.2%,27.1%,30.9%,25.7%,26.8%,23.4%
11,San Antonio,26.2%,24.6%,22.5%,26.1%,26.3%,24.3%
12,Utah,26.1%,26.8%,20.8%,25.9%,26.3%,26.9%
13,Minnesota,25.8%,25.9%,25.6%,26.4%,25.0%,26.3%
14,Sacramento,25.7%,31.1%,33.3%,24.9%,26.6%,25.4%
15,Toronto,25.7%,29.5%,30.6%,26.1%,25.3%,27.3%
16,Golden State,25.7%,24.8%,31.7%,24.9%,26.4%,27.3%
17,Miami,25.4%,23.4%,19.6%,25.6%,25.1%,22.4%
18,Memphis,25.1%,26.1%,18.6%,24.7%,25.5%,28.6%
19,Orlando,24.7%,23.4%,18.2%,22.4%,26.7%,25.3%
20,Atlanta,24.2%,28.8%,35.2%,25.5%,22.9%,26.1%
21,Washington,24.1%,25.2%,15.7%,23.5%,24.6%,22.7%
22,LA Lakers,23.9%,20.8%,18.2%,22.6%,25.2%,23.3%
23,Brooklyn,23.9%,14.0%,7.9%,25.3%,22.4%,24.5%
24,LA Clippers,23.7%,23.0%,23.5%,22.3%,25.0%,24.4%
25,Denver,23.4%,27.4%,37.8%,23.2%,23.5%,26.9%
26,Chicago,23.0%,22.7%,19.1%,24.1%,22.0%,22.2%
27,Dallas,23.0%,22.4%,25.4%,23.0%,22.9%,23.3%
28,Okla City,22.3%,25.8%,25.0%,22.6%,22.0%,24.4%
29,Indiana,21.7%,21.5%,14.7%,21.2%,22.2%,21.1%
30,Milwaukee,20.9%,23.7%,23.7%,20.6%,21.2%,19.6%
