Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Amen Thompson,23.0,HOU,PG,79.0,79.0,2953.0,6.8,12.7,0.534,0.3,1.4,0.216,6.5,11.3,0.573,0.545,3.7,4.8,0.779,2.9,4.6,7.5,5.1,1.5,0.6,2.3,2.1,17.6,
2.0,Kevin Durant,37.0,HOU,SF,78.0,78.0,2840.0,9.1,17.4,0.52,2.4,5.7,0.413,6.7,11.7,0.572,0.588,5.2,5.9,0.874,0.5,4.9,5.4,4.7,0.8,0.9,3.1,1.8,25.7,AS
3.0,Desmond Bane,27.0,ORL,SG,81.0,81.0,2738.0,7.6,15.7,0.485,2.2,5.6,0.392,5.4,10.2,0.535,0.554,4.1,4.5,0.91,1.3,3.2,4.4,4.4,1.1,0.5,2.2,3.3,21.6,
4.0,Jabari Smith Jr.,22.0,HOU,PF,77.0,77.0,2705.0,5.8,13.0,0.45,2.4,6.5,0.363,3.5,6.5,0.537,0.541,2.2,2.8,0.775,1.4,5.6,7.0,1.9,0.7,0.9,1.4,2.6,16.2,
5.0,Toumani Camara,25.0,POR,PF,81.0,81.0,2698.0,5.2,11.7,0.44,2.9,7.8,0.37,2.3,3.9,0.58,0.563,1.3,1.8,0.708,1.7,3.9,5.6,2.7,1.3,0.5,1.9,3.1,14.5,
6.0,Mikal Bridges,29.0,NYK,SF,81.0,81.0,2692.0,6.3,12.9,0.49,2.1,5.6,0.371,4.2,7.3,0.582,0.571,1.1,1.3,0.827,1.1,3.1,4.2,4.1,1.4,0.8,1.1,2.1,15.8,
7.0,Jamal Murray,28.0,DEN,PG,75.0,75.0,2652.0,8.9,18.5,0.483,3.3,7.6,0.435,5.6,10.8,0.517,0.573,4.7,5.3,0.887,0.4,4.0,4.5,7.3,0.9,0.4,2.3,1.8,25.9,AS
8.0,Scottie Barnes,24.0,TOR,PF,79.0,79.0,2649.0,7.6,15.1,0.504,0.9,3.0,0.304,6.7,12.1,0.555,0.535,3.3,4.0,0.814,2.0,6.0,8.0,6.3,1.5,1.5,2.8,2.9,19.4,AS
9.0,Tyrese Maxey,25.0,PHI,PG,69.0,69.0,2634.0,9.4,20.3,0.461,3.0,8.1,0.367,6.4,12.2,0.523,0.534,5.0,5.7,0.891,0.3,3.6,3.9,6.3,1.8,0.8,2.3,2.1,26.8,AS
10.0,Derrick White,31.0,BOS,SG,77.0,77.0,2625.0,6.0,15.2,0.394,2.9,8.8,0.327,3.1,6.4,0.487,0.489,2.5,2.8,0.902,1.2,3.5,4.6,5.7,1.2,1.3,1.8,1.6,17.4,
11.0,Julius Randle,31.0,MIN,PF,79.0,79.0,2610.0,8.0,16.6,0.481,1.5,4.8,0.315,6.5,11.9,0.547,0.526,5.5,6.8,0.802,1.8,5.5,7.3,5.5,1.2,0.2,3.0,3.1,23.0,
12.0,Nickeil Alexander-Walker,27.0,ATL,SG,78.0,71.0,2603.0,7.6,16.5,0.459,3.5,8.7,0.399,4.1,7.8,0.525,0.564,3.8,4.2,0.902,0.7,3.0,3.7,4.0,1.4,0.6,2.2,2.4,22.5,
13.0,VJ Edgecombe,20.0,PHI,SG,74.0,74.0,2592.0,6.2,14.2,0.439,2.1,5.8,0.356,4.2,8.4,0.496,0.511,2.1,2.5,0.818,1.7,4.1,5.8,4.2,1.5,0.5,1.9,3.0,16.5,
14.0,Jalen Brunson,29.0,NYK,PG,74.0,74.0,2590.0,9.6,20.5,0.467,2.7,7.3,0.369,6.9,13.2,0.522,0.533,4.9,5.9,0.841,0.4,3.0,3.4,7.0,0.8,0.1,2.4,2.4,26.8,AS
15.0,Brandon Ingram,28.0,TOR,SF,76.0,76.0,2572.0,8.5,17.9,0.475,1.8,4.9,0.379,6.6,13.0,0.511,0.527,4.0,4.9,0.816,0.9,5.0,5.9,3.9,0.8,0.8,2.6,2.1,22.8,AS
