Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Luka Dončić,26.0,LAL,PG,64.0,64.0,35.8,10.8,22.8,0.476,4.0,10.8,0.366,6.9,11.9,0.575,0.563,7.9,10.1,0.78,0.6,7.1,7.7,8.3,1.6,0.5,4.0,2.4,33.5,AS
2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,67.0,67.0,33.3,10.8,19.5,0.554,1.7,4.4,0.387,9.1,15.1,0.602,0.597,8.1,9.1,0.881,0.6,3.8,4.3,6.5,1.4,0.8,2.2,2.1,31.3,AS
3.0,Anthony Edwards,24.0,MIN,SG,60.0,59.0,35.2,9.9,20.3,0.489,3.4,8.5,0.398,6.6,11.8,0.554,0.572,5.7,7.2,0.796,0.6,4.4,5.0,3.7,1.4,0.8,2.8,1.9,28.9,AS
4.0,Jaylen Brown,29.0,BOS,SF,70.0,70.0,34.5,10.4,21.9,0.476,2.0,5.7,0.344,8.4,16.1,0.523,0.521,6.0,7.6,0.796,1.2,5.8,7.0,5.2,1.0,0.4,3.6,2.7,28.8,AS
5.0,Tyrese Maxey,25.0,PHI,PG,67.0,67.0,38.2,9.9,21.5,0.463,3.2,8.6,0.369,6.8,12.9,0.524,0.536,5.4,6.0,0.891,0.3,3.8,4.1,6.7,1.9,0.8,2.5,2.2,28.4,AS
6.0,Kawhi Leonard,34.0,LAC,SF,63.0,63.0,32.0,9.8,19.4,0.506,2.7,6.9,0.389,7.1,12.5,0.571,0.575,5.8,6.5,0.895,1.1,5.2,6.3,3.6,1.9,0.4,2.0,1.2,28.1,AS
7.0,Nikola Jokić,30.0,DEN,C,63.0,63.0,35.2,10.0,17.7,0.568,1.8,4.6,0.38,8.3,13.0,0.635,0.618,6.1,7.4,0.829,2.9,10.0,12.9,10.9,1.4,0.8,3.8,2.7,28.0,AS
8.0,Donovan Mitchell,29.0,CLE,SG,69.0,69.0,33.4,9.7,20.1,0.481,3.2,8.9,0.364,6.4,11.2,0.574,0.562,5.3,6.1,0.863,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.8,AS
9.0,Giannis Antetokounmpo,31.0,MIL,PF,36.0,36.0,28.9,10.4,16.6,0.624,0.4,1.3,0.333,9.9,15.4,0.647,0.636,6.4,9.9,0.65,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6,AS
10.0,Stephen Curry,37.0,GSW,PG,41.0,39.0,31.0,8.9,19.0,0.468,4.5,11.4,0.392,4.4,7.5,0.584,0.587,4.8,5.1,0.929,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.8,27.0,AS
