Game,Crew Chief,Referee,Umpire,Alternate
Toronto @ Boston,James Williams (#60),Nick Buchert (#3),Che Flores (#91),
Washington @ Brooklyn,Scott Foster (#48),JB DeRosa (#14),Brandon Adair (#67),
Phoenix @ Chicago,Sean Wright (#4),Brian Forte (#45),Jason Goldenberg (#35),
Memphis @ Milwaukee,Ben Taylor (#46),Jacyn Goble (#68),Intae Hwang (#73),
Indiana @ Cleveland,John Goble (#10),Dedric Taylor (#21),Jonathan Sterling (#17),
Charlotte @ Minnesota,Curtis Blair (#74),John Butler (#30),CJ Washington (#12),
Orlando @ New Orleans,Tony Brothers (#25),Pat Fraher (#26),Leon Wood (#40),
Utah @ Oklahoma City,James Capers (#19),Tre Maddox (#23),Suyash Mehta (#82),
L.A. Lakers @ Dallas,Zach Zarba (#15),Karl Lane (#77),JD Ralls (#80),
LA Clippers @ Sacramento,Brent Barnaky (#36),Rodney Mott (#71),Simone Jelks (#81),
Houston @ Golden State,Courtney Kirkland (#61),Kevin Cutler (#34),Robert Hussey (#85),
