RANK,REFEREE,ROLE,GENDER,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,FOUL DIFFERENTIAL (Ag.Rd Tm) - (Ag. Hm Tm),Unnamed: 13
,Ray Acosta,CREW,MALE,9,1,1,11,215,45,0.467,0.533,-3,
,James Capers,CHIEF,MALE,31,1,1,9,205,47,0.468,0.532,-3,
,Tony Brothers,CHIEF,MALE,32,1,1,13,239,51,0.451,0.549,-5,
,Dedric Taylor,CREW,MALE,13,1,1,11,221,42,0.595,0.405,8,
,John Goble,CHIEF,MALE,19,1,1,11,215,45,0.467,0.533,-3,
,Tyler Ford,CREW,MALE,12,1,1,9,205,47,0.468,0.532,-3,
,Zach Zarba,CHIEF,MALE,23,1,1,11,221,42,0.595,0.405,8,
,Eric Dalen,CREW,MALE,18,1,1,11,221,42,0.595,0.405,8,
,Brent Barnaky,CREW,MALE,17,1,1,13,239,51,0.451,0.549,-5,
,Curtis Blair,CREW,MALE,18,1,1,11,215,45,0.467,0.533,-3,
,Ed Malloy,CREW,MALE,24,1,1,9,205,47,0.468,0.532,-3,
,Sean Corbin,CREW,MALE,33,1,1,13,239,51,0.451,0.549,-5,
